,UF,regiao,data,perm_media
429,Mato Grosso,Centro-Oeste,2009-05-01,4.3
430,Goiás,Centro-Oeste,2009-05-01,4.9
431,Distrito Federal,Centro-Oeste,2009-05-01,6.2
432,Rondônia,Norte,2009-06-01,3.9
433,Acre,Norte,2009-06-01,4.4
434,Amazonas,Norte,2009-06-01,4.7
435,Roraima,Norte,2009-06-01,5.0
436,Pará,Norte,2009-06-01,3.7
437,Amapá,Norte,2009-06-01,4.9
438,Tocantins,Norte,2009-06-01,4.6
439,Maranhão,Nordeste,2009-06-01,4.7
440,Piauí,Nordeste,2009-06-01,4.3
441,Ceará,Nordeste,2009-06-01,5.2
442,Rio Grande do Norte,Nordeste,2009-06-01,5.8
443,Paraíba,Nordeste,2009-06-01,5.2
444,Pernambuco,Nordeste,2009-06-01,5.5
445,Alagoas,Nordeste,2009-06-01,5.8
446,Sergipe,Nordeste,2009-06-01,5.0
447,Bahia,Nordeste,2009-06-01,4.4
448,Minas Gerais,Sudeste,2009-06-01,5.5
449,Espírito Santo,Sudeste,2009-06-01,5.7
450,Rio de Janeiro,Sudeste,2009-06-01,9.5
451,São Paulo,Sudeste,2009-06-01,6.3
452,Paraná,Sul,2009-06-01,5.1
453,Santa Catarina,Sul,2009-06-01,5.4
454,Rio Grande do Sul,Sul,2009-06-01,5.9
455,Mato Grosso do Sul,Centro-Oeste,2009-06-01,4.8
456,Mato Grosso,Centro-Oeste,2009-06-01,4.4
457,Goiás,Centro-Oeste,2009-06-01,5.2
458,Distrito Federal,Centro-Oeste,2009-06-01,6.4
459,Rondônia,Norte,2009-07-01,3.7
460,Acre,Norte,2009-07-01,4.1
461,Amazonas,Norte,2009-07-01,4.8
462,Roraima,Norte,2009-07-01,4.7
463,Pará,Norte,2009-07-01,3.7
464,Amapá,Norte,2009-07-01,4.6
465,Tocantins,Norte,2009-07-01,4.8
466,Maranhão,Nordeste,2009-07-01,4.5
467,Piauí,Nordeste,2009-07-01,4.3
468,Ceará,Nordeste,2009-07-01,5.1
469,Rio Grande do Norte,Nordeste,2009-07-01,5.5
470,Paraíba,Nordeste,2009-07-01,5.2
471,Pernambuco,Nordeste,2009-07-01,5.6
472,Alagoas,Nordeste,2009-07-01,5.3
473,Sergipe,Nordeste,2009-07-01,5.2
474,Bahia,Nordeste,2009-07-01,4.1
475,Minas Gerais,Sudeste,2009-07-01,5.6
476,Espírito Santo,Sudeste,2009-07-01,5.7
477,Rio de Janeiro,Sudeste,2009-07-01,8.0
478,São Paulo,Sudeste,2009-07-01,6.1
479,Paraná,Sul,2009-07-01,5.0
480,Santa Catarina,Sul,2009-07-01,5.6
481,Rio Grande do Sul,Sul,2009-07-01,5.9
482,Mato Grosso do Sul,Centro-Oeste,2009-07-01,4.8
483,Mato Grosso,Centro-Oeste,2009-07-01,4.5
484,Goiás,Centro-Oeste,2009-07-01,4.8
485,Distrito Federal,Centro-Oeste,2009-07-01,6.5
486,Rondônia,Norte,2009-08-01,3.7
487,Acre,Norte,2009-08-01,4.1
488,Amazonas,Norte,2009-08-01,4.8
489,Roraima,Norte,2009-08-01,5.0
490,Pará,Norte,2009-08-01,3.7
491,Amapá,Norte,2009-08-01,4.4
492,Tocantins,Norte,2009-08-01,4.8
493,Maranhão,Nordeste,2009-08-01,4.5
494,Piauí,Nordeste,2009-08-01,4.4
495,Ceará,Nordeste,2009-08-01,5.2
496,Rio Grande do Norte,Nordeste,2009-08-01,5.2
497,Paraíba,Nordeste,2009-08-01,5.1
498,Pernambuco,Nordeste,2009-08-01,5.5
499,Alagoas,Nordeste,2009-08-01,6.3
500,Sergipe,Nordeste,2009-08-01,4.9
501,Bahia,Nordeste,2009-08-01,4.1
502,Minas Gerais,Sudeste,2009-08-01,5.5
503,Espírito Santo,Sudeste,2009-08-01,5.9
504,Rio de Janeiro,Sudeste,2009-08-01,8.2
505,São Paulo,Sudeste,2009-08-01,5.9
506,Paraná,Sul,2009-08-01,4.9
507,Santa Catarina,Sul,2009-08-01,5.2
508,Rio Grande do Sul,Sul,2009-08-01,6.1
509,Mato Grosso do Sul,Centro-Oeste,2009-08-01,4.8
510,Mato Grosso,Centro-Oeste,2009-08-01,4.4
511,Goiás,Centro-Oeste,2009-08-01,5.1
512,Distrito Federal,Centro-Oeste,2009-08-01,6.5
513,Rondônia,Norte,2009-09-01,3.7
