,UF,regiao,data,valor_corrigido
423,Rio de Janeiro,Sudeste,2009-05-01,74699558.2666652
424,São Paulo,Sudeste,2009-05-01,311639277.8567079
425,Paraná,Sul,2009-05-01,100942190.87029505
426,Santa Catarina,Sul,2009-05-01,49908670.64800809
427,Rio Grande do Sul,Sul,2009-05-01,95844949.20681998
428,Mato Grosso do Sul,Centro-Oeste,2009-05-01,16026645.638345351
429,Mato Grosso,Centro-Oeste,2009-05-01,16484846.361599684
430,Goiás,Centro-Oeste,2009-05-01,34914991.10271744
431,Distrito Federal,Centro-Oeste,2009-05-01,20818573.791190308
432,Rondônia,Norte,2009-06-01,4690970.718828991
433,Acre,Norte,2009-06-01,2924878.43453372
434,Amazonas,Norte,2009-06-01,13184799.512166763
435,Roraima,Norte,2009-06-01,1812814.1062030266
436,Pará,Norte,2009-06-01,36939661.59319621
437,Amapá,Norte,2009-06-01,2347871.438912574
438,Tocantins,Norte,2009-06-01,8851718.806602405
439,Maranhão,Nordeste,2009-06-01,25221101.607506488
440,Piauí,Nordeste,2009-06-01,17334835.824978933
441,Ceará,Nordeste,2009-06-01,47317264.08693
442,Rio Grande do Norte,Nordeste,2009-06-01,17905262.411354523
443,Paraíba,Nordeste,2009-06-01,21360719.40347983
444,Pernambuco,Nordeste,2009-06-01,48283692.54695241
445,Alagoas,Nordeste,2009-06-01,15314123.5766961
446,Sergipe,Nordeste,2009-06-01,7850107.017460652
447,Bahia,Nordeste,2009-06-01,68929760.88342743
448,Minas Gerais,Sudeste,2009-06-01,138941936.66164184
449,Espírito Santo,Sudeste,2009-06-01,20334819.68958326
450,Rio de Janeiro,Sudeste,2009-06-01,84666409.65647939
451,São Paulo,Sudeste,2009-06-01,310818598.23323613
452,Paraná,Sul,2009-06-01,99751173.50992973
453,Santa Catarina,Sul,2009-06-01,52358472.81090795
454,Rio Grande do Sul,Sul,2009-06-01,93659735.36851807
455,Mato Grosso do Sul,Centro-Oeste,2009-06-01,16929886.818895556
456,Mato Grosso,Centro-Oeste,2009-06-01,16243449.304271849
457,Goiás,Centro-Oeste,2009-06-01,34704570.82956506
458,Distrito Federal,Centro-Oeste,2009-06-01,20238496.824226517
459,Rondônia,Norte,2009-07-01,5177935.324886862
460,Acre,Norte,2009-07-01,2768030.131549617
461,Amazonas,Norte,2009-07-01,13060814.510334643
462,Roraima,Norte,2009-07-01,1833783.6097245666
463,Pará,Norte,2009-07-01,36763836.52644895
464,Amapá,Norte,2009-07-01,2320727.5485715587
465,Tocantins,Norte,2009-07-01,8903863.569983896
466,Maranhão,Nordeste,2009-07-01,24841393.95275316
467,Piauí,Nordeste,2009-07-01,18232420.887487307
468,Ceará,Nordeste,2009-07-01,48734170.759171315
469,Rio Grande do Norte,Nordeste,2009-07-01,18661098.49914011
470,Paraíba,Nordeste,2009-07-01,23317309.57946117
