,UF,regiao,data,valor_hospitalar,valor_corrigido
277,Maranhão,Nordeste,2008-12-01,11146877.01,20500187.500415675
278,Piauí,Nordeste,2008-12-01,7892879.33,14515770.294944275
279,Ceará,Nordeste,2008-12-01,23698038.06,43582989.49438099
280,Rio Grande do Norte,Nordeste,2008-12-01,8475983.78,15588155.90991095
281,Paraíba,Nordeste,2008-12-01,9806145.86,18034452.93296772
282,Pernambuco,Nordeste,2008-12-01,22931833.76,42173865.503909625
283,Alagoas,Nordeste,2008-12-01,7135104.12,13122148.218175093
284,Sergipe,Nordeste,2008-12-01,3150270.18,5793652.27668985
285,Bahia,Nordeste,2008-12-01,32407254.63,59600083.11679704
286,Minas Gerais,Sudeste,2008-12-01,71920771.46,132269271.3646927
287,Espírito Santo,Sudeste,2008-12-01,9979537.45,18353336.87712592
288,Rio de Janeiro,Sudeste,2008-12-01,35127740.85,64603321.02390454
289,São Paulo,Sudeste,2008-12-01,143862834.95,264577700.83679727
290,Paraná,Sul,2008-12-01,47290346.13,86971531.28673095
291,Santa Catarina,Sul,2008-12-01,24764517.17,45544347.97179694
292,Rio Grande do Sul,Sul,2008-12-01,45940010.19,84488132.57929781
293,Mato Grosso do Sul,Centro-Oeste,2008-12-01,7243041.63,13320655.76350307
294,Mato Grosso,Centro-Oeste,2008-12-01,7280539.07,13389617.191003885
295,Goiás,Centro-Oeste,2008-12-01,15781383.43,29023494.1177442
296,Distrito Federal,Centro-Oeste,2008-12-01,9353070.78,17201203.93565364
297,Rondônia,Norte,2009-01-01,2463666.78,4509286.412370903
298,Acre,Norte,2009-01-01,1627444.87,2978736.8562779957
299,Amazonas,Norte,2009-01-01,6569898.74,12024984.612137655
300,Roraima,Norte,2009-01-01,865304.84,1583780.4808858035
301,Pará,Norte,2009-01-01,19735424.15,36122044.05417667
302,Amapá,Norte,2009-01-01,1239200.92,2268128.107305779
303,Tocantins,Norte,2009-01-01,4709681.47,8620200.926387465
304,Maranhão,Nordeste,2009-01-01,12825380.12,23474486.39487192
305,Piauí,Nordeste,2009-01-01,9805764.86,17947639.106495593
306,Ceará,Nordeste,2009-01-01,25298950.9,46305050.85619113
307,Rio Grande do Norte,Nordeste,2009-01-01,8172470.88,14958196.536091981
308,Paraíba,Nordeste,2009-01-01,10685187.94,19557260.414686214
309,Pernambuco,Nordeste,2009-01-01,49742279.36,91044043.07404172
310,Alagoas,Nordeste,2009-01-01,7804198.61,14284142.253814412
311,Sergipe,Nordeste,2009-01-01,3774897.97,6909252.607695391
312,Bahia,Nordeste,2009-01-01,34514317.47,63172075.08059459
313,Minas Gerais,Sudeste,2009-01-01,81063728.5,148372163.16289902
314,Espírito Santo,Sudeste,2009-01-01,10752673.45,19680780.160028934
315,Rio de Janeiro,Sudeste,2009-01-01,51033235.09,93406898.78956237
316,São Paulo,Sudeste,2009-01-01,156506702.01,286456573.8142051
317,Paraná,Sul,2009-01-01,49381964.21,90384552.82834122
318,Santa Catarina,Sul,2009-01-01,26240362.34,48028130.39328767
319,Rio Grande do Sul,Sul,2009-01-01,50798022.04,92976384.80163689
320,Mato Grosso do Sul,Centro-Oeste,2009-01-01,7744841.08,14175499.272680048
321,Mato Grosso,Centro-Oeste,2009-01-01,7990524.58,14625177.482934492
322,Goiás,Centro-Oeste,2009-01-01,17018137.79,31148553.90480315
323,Distrito Federal,Centro-Oeste,2009-01-01,10348057.14,18940204.833966922
324,Rondônia,Norte,2009-02-01,2408855.74,4384843.879090782
325,Acre,Norte,2009-02-01,1560154.41,2839951.5178625807
326,Amazonas,Norte,2009-02-01,6457150.18,11753960.59339898
327,Roraima,Norte,2009-02-01,808588.66,1471875.2051557964
328,Pará,Norte,2009-02-01,17975083.94,32720073.469593503
329,Amapá,Norte,2009-02-01,1199873.11,2184130.902778396
330,Tocantins,Norte,2009-02-01,4736739.36,8622294.081232274
331,Maranhão,Nordeste,2009-02-01,11961442.67,21773432.84021018
332,Piauí,Nordeste,2009-02-01,8589296.84,15635110.500460187
333,Ceará,Nordeste,2009-02-01,22719611.63,41356544.66013197
334,Rio Grande do Norte,Nordeste,2009-02-01,8538543.97,15542724.97165065
335,Paraíba,Nordeste,2009-02-01,9918947.79,18055476.208800506
336,Pernambuco,Nordeste,2009-02-01,23312080.73,42435017.091480404
337,Alagoas,Nordeste,2009-02-01,6929358.45,12613522.047405167
338,Sergipe,Nordeste,2009-02-01,3757963.71,6840627.231433455
339,Bahia,Nordeste,2009-02-01,32214641.35,58640362.14167491
340,Minas Gerais,Sudeste,2009-02-01,67589788.55,123033798.03578761
341,Espírito Santo,Sudeste,2009-02-01,9440053.2,17183743.63601838
342,Rio de Janeiro,Sudeste,2009-02-01,32912037.27,59909833.027928516
343,São Paulo,Sudeste,2009-02-01,144800475.05,263580531.6894693
344,Paraná,Sul,2009-02-01,46601183.14,84828206.71104926
345,Santa Catarina,Sul,2009-02-01,24282880.71,44202165.81667739
346,Rio Grande do Sul,Sul,2009-02-01,42874300.69,78044156.74590965
347,Mato Grosso do Sul,Centro-Oeste,2009-02-01,7657385.4,13938750.645577937
348,Mato Grosso,Centro-Oeste,2009-02-01,7413892.4,13495519.956034258
349,Goiás,Centro-Oeste,2009-02-01,16531316.63,30091981.572282597
350,Distrito Federal,Centro-Oeste,2009-02-01,9678558.31,17617894.86157719
351,Rondônia,Norte,2009-03-01,3298556.21,5992393.446717169
352,Acre,Norte,2009-03-01,1872998.07,3402622.4341291143
353,Amazonas,Norte,2009-03-01,7052530.5,12812131.993643655
354,Roraima,Norte,2009-03-01,1052975.24,1912910.2328474305
355,Pará,Norte,2009-03-01,22105466.83,40158374.190238744
356,Amapá,Norte,2009-03-01,1374563.71,2497130.8789366484
357,Tocantins,Norte,2009-03-01,5181984.88,9413964.855823832
358,Maranhão,Nordeste,2009-03-01,14822341.4,26927326.93203509
359,Piauí,Nordeste,2009-03-01,10901181.22,19803866.523834158
360,Ceará,Nordeste,2009-03-01,28444080.58,51673553.88662214
361,Rio Grande do Norte,Nordeste,2009-03-01,9689646.48,17602905.74759012
362,Paraíba,Nordeste,2009-03-01,13062270.81,23729856.645701658
363,Pernambuco,Nordeste,2009-03-01,28680030.6,52102197.59119639
364,Alagoas,Nordeste,2009-03-01,9341365.93,16970194.35734249
365,Sergipe,Nordeste,2009-03-01,4898511.21,8898986.285116114
366,Bahia,Nordeste,2009-03-01,40105382.31,72858309.7671483
367,Minas Gerais,Sudeste,2009-03-01,80926667.95,147017180.79505953
368,Espírito Santo,Sudeste,2009-03-01,11392251.01,20695979.073729668
369,Rio de Janeiro,Sudeste,2009-03-01,42722521.33,77612791.94485107
370,São Paulo,Sudeste,2009-03-01,176130324.8,319970962.11365956
371,Paraná,Sul,2009-03-01,56289822.44,102260122.80273649
372,Santa Catarina,Sul,2009-03-01,28407296.03,51606728.43866034
373,Rio Grande do Sul,Sul,2009-03-01,53646154.95,97457447.10651872
374,Mato Grosso do Sul,Centro-Oeste,2009-03-01,9404132.69,17084220.948781315
375,Mato Grosso,Centro-Oeste,2009-03-01,9297609.15,16890702.6570263
376,Goiás,Centro-Oeste,2009-03-01,19717577.68,35820363.74476963
377,Distrito Federal,Centro-Oeste,2009-03-01,11305321.38,20538056.482155114
378,Rondônia,Norte,2009-04-01,3177168.46,5744293.539899681
379,Acre,Norte,2009-04-01,1810893.04,3274079.2067164406
380,Amazonas,Norte,2009-04-01,6288035.92,11368715.435980737
381,Roraima,Norte,2009-04-01,1037946.52,1876598.475863428
382,Pará,Norte,2009-04-01,21524476.72,38916070.749492794
383,Amapá,Norte,2009-04-01,1407940.38,2545544.2263196525
384,Tocantins,Norte,2009-04-01,5062978.9,9153822.768314399
385,Maranhão,Nordeste,2009-04-01,13970027.92,25257691.602879055
386,Piauí,Nordeste,2009-04-01,9971647.89,18028654.53243272
387,Ceará,Nordeste,2009-04-01,28052401.31,50718502.859526165
388,Rio Grande do Norte,Nordeste,2009-04-01,9261616.96,16744924.652926123
389,Paraíba,Nordeste,2009-04-01,12383012.13,22388380.55910274
390,Pernambuco,Nordeste,2009-04-01,27099450.79,48995576.42839823
